DateTime,03FECONTROL.03PIC3.MEAS
1/17/2023 06:35:00,4.26812505722046
1/17/2023 06:40:00,4.28921842575073
1/17/2023 06:45:00,4.27921867370605
1/17/2023 06:50:00,4.26812505722046
1/17/2023 06:55:00,4.26812505722046
1/17/2023 07:00:00,4.26812505722046
1/17/2023 07:05:00,4.25749969482422
1/17/2023 07:10:00,4.24796867370605
1/17/2023 07:15:00,4.2584376335144
1/17/2023 07:20:00,4.2584376335144
1/17/2023 07:25:00,4.22687482833862
1/17/2023 07:30:00,4.22687482833862
1/17/2023 07:35:00,4.24796867370605
1/17/2023 07:40:00,4.24765634536743
1/17/2023 07:45:00,4.24703121185303
1/17/2023 07:50:00,4.24640607833862
1/17/2023 07:55:00,4.23624992370605
1/17/2023 08:00:00,4.23593759536743
1/17/2023 08:05:00,4.23593759536743
1/17/2023 08:10:00,4.22624969482422
1/17/2023 08:15:00,4.23593759536743
1/17/2023 08:20:00,4.2779688835144
1/17/2023 08:25:00,4.26781225204468
1/17/2023 08:30:00,4.25749969482422
1/17/2023 08:35:00,4.2578125
1/17/2023 08:40:00,4.26812505722046
1/17/2023 08:45:00,4.26812505722046
1/17/2023 08:50:00,4.24640607833862
1/17/2023 08:55:00,4.26718759536743
1/17/2023 09:00:00,4.2467188835144
1/17/2023 09:05:00,4.23531246185303
1/17/2023 09:10:00,4.23406219482422
1/17/2023 09:15:00,4.21265602111816
1/17/2023 09:20:00,4.23468732833862
1/17/2023 09:25:00,4.22437477111816
1/17/2023 09:30:00,4.21359348297119
1/17/2023 09:35:00,4.23406219482422
1/17/2023 09:40:00,4.2545313835144
1/17/2023 09:45:00,4.26437473297119
1/17/2023 09:50:00,4.26406240463257
1/17/2023 09:55:00,4.24328136444092
1/17/2023 10:00:00,4.23218727111816
1/17/2023 10:05:00,4.23281240463257
1/17/2023 10:10:00,4.22343730926514
1/17/2023 10:15:00,4.25390625
1/17/2023 10:20:00,4.25265598297119
1/17/2023 10:25:00,4.2532811164856
1/17/2023 10:30:00,4.25234365463257
1/17/2023 10:35:00,4.25203132629395
1/17/2023 10:40:00,4.26218748092651
1/17/2023 10:45:00,4.25140619277954
1/17/2023 10:50:00,4.24140596389771
1/17/2023 10:55:00,4.2728123664856
1/17/2023 11:00:00,4.25140619277954
1/17/2023 11:05:00,4.28328132629395
1/17/2023 11:10:00,4.25234365463257
1/17/2023 11:15:00,4.26375007629395
1/17/2023 11:20:00,4.24328136444092
1/17/2023 11:25:00,4.26312494277954
1/17/2023 11:30:00,4.2532811164856
1/17/2023 11:35:00,4.26312494277954
1/17/2023 11:40:00,4.26249980926514
1/17/2023 11:45:00,4.25234365463257
1/17/2023 11:50:00,4.23062467575073
1/17/2023 11:55:00,4.24171876907349
1/17/2023 12:00:00,4.23156261444092
1/17/2023 12:05:00,4.24171876907349
1/17/2023 12:10:00,4.23156261444092
1/17/2023 12:15:00,4.26281261444092
1/17/2023 12:20:00,4.25234365463257
1/17/2023 12:25:00,4.23156261444092
1/17/2023 12:30:00,4.21140623092651
1/17/2023 12:35:00,4.21140623092651
1/17/2023 12:40:00,4.23250007629395
1/17/2023 12:45:00,4.22187471389771
1/17/2023 12:50:00,4.21140623092651
1/17/2023 12:55:00,4.23031234741211
1/17/2023 13:00:00,4.23031234741211
1/17/2023 13:05:00,4.23031234741211
1/17/2023 13:10:00,4.21953105926514
1/17/2023 13:15:00,4.22968721389771
1/17/2023 13:20:00,4.20828104019165
1/17/2023 13:25:00,4.23953104019165
1/17/2023 13:30:00,4.27062511444092
1/17/2023 13:35:00,4.24015617370605
1/17/2023 13:40:00,4.21984386444092
1/17/2023 13:45:00,4.23031234741211
1/17/2023 13:50:00,4.24078130722046
1/17/2023 13:55:00,4.24140596389771
1/17/2023 14:00:00,4.21015596389771
1/17/2023 14:05:00,4.24046850204468
1/17/2023 14:10:00,4.23031234741211
1/17/2023 14:15:00,4.24015617370605
1/17/2023 14:20:00,4.24015617370605
1/17/2023 14:25:00,4.26093721389771
1/17/2023 14:30:00,4.24046850204468
1/17/2023 14:35:00,4.24046850204468
1/17/2023 14:40:00,4.24078130722046
1/17/2023 14:45:00,4.23031234741211
1/17/2023 14:50:00,4.21984386444092
1/17/2023 14:55:00,4.24015617370605
1/17/2023 15:00:00,4.25078105926514
1/17/2023 15:05:00,4.25046873092651
1/17/2023 15:10:00,4.21921873092651
1/17/2023 15:15:00,4.23031234741211
1/17/2023 15:20:00,4.23062467575073
1/17/2023 15:25:00,4.21015596389771
1/17/2023 15:30:00,4.23093748092651
1/17/2023 15:35:00,4.23093748092651
1/17/2023 15:40:00,4.21015596389771
1/17/2023 15:45:00,4.25078105926514
1/17/2023 15:50:00,4.25078105926514
1/17/2023 15:55:00,4.22968721389771
1/17/2023 16:00:00,4.23031234741211
1/17/2023 16:05:00,4.24046850204468
1/17/2023 16:10:00,4.26093721389771
1/17/2023 16:15:00,4.26093721389771
1/17/2023 16:20:00,4.25046873092651
1/17/2023 16:25:00,4.22015619277954
1/17/2023 16:30:00,4.23000001907349
1/17/2023 16:35:00,4.20953130722046
1/17/2023 16:40:00,4.19937467575073
1/17/2023 16:45:00,4.24046850204468
1/17/2023 16:50:00,4.19875001907349
1/17/2023 16:55:00,4.19906234741211
1/17/2023 17:00:00,4.24078130722046
1/17/2023 17:05:00,4.22937488555908
1/17/2023 17:10:00,4.18843746185303
1/17/2023 17:15:00,4.20890617370605
1/17/2023 17:20:00,4.19906234741211
1/17/2023 17:25:00,4.24171876907349
1/17/2023 17:30:00,4.23156261444092
1/17/2023 17:35:00,4.26218748092651
1/17/2023 17:40:00,4.26218748092651
1/17/2023 17:45:00,4.25296878814697
1/17/2023 17:50:00,4.24296855926514
1/17/2023 17:55:00,4.24234342575073
1/17/2023 18:00:00,4.24234342575073
1/17/2023 18:05:00,4.26218748092651
1/17/2023 18:10:00,4.25140619277954
1/17/2023 18:15:00,4.25140619277954
1/17/2023 18:20:00,4.25109386444092
1/17/2023 18:25:00,4.23984384536743
1/17/2023 18:30:00,4.24015617370605
1/17/2023 18:35:00,4.25078105926514
1/17/2023 18:40:00,4.24015617370605
1/17/2023 18:45:00,4.26062488555908
1/17/2023 18:50:00,4.24953126907349
1/17/2023 18:55:00,4.25968742370605
1/17/2023 19:00:00,4.25968742370605
1/17/2023 19:05:00,4.24921846389771
1/17/2023 19:10:00,4.24921846389771
1/17/2023 19:15:00,4.24921846389771
1/17/2023 19:20:00,4.22874975204468
1/17/2023 19:25:00,4.22812509536743
1/17/2023 19:30:00,4.23859357833862
1/17/2023 19:35:00,4.24921846389771
1/17/2023 19:40:00,4.24859380722046
1/17/2023 19:45:00,4.24828100204468
1/17/2023 19:50:00,4.2584376335144
1/17/2023 19:55:00,4.26874971389771
1/17/2023 20:00:00,4.24734354019165
1/17/2023 20:05:00,4.26749992370605
1/17/2023 20:10:00,4.26781225204468
1/17/2023 20:15:00,4.26781225204468
1/17/2023 20:20:00,4.2779688835144
1/17/2023 20:25:00,4.2779688835144
1/17/2023 20:30:00,4.26749992370605
1/17/2023 20:35:00,4.2571873664856
1/17/2023 20:40:00,4.2571873664856
1/17/2023 20:45:00,4.26718759536743
1/17/2023 20:50:00,4.27765607833862
1/17/2023 20:55:00,4.24734354019165
1/17/2023 21:00:00,4.24765634536743
1/17/2023 21:05:00,4.24734354019165
1/17/2023 21:10:00,4.2571873664856
1/17/2023 21:15:00,4.2571873664856
1/17/2023 21:20:00,4.2578125
1/17/2023 21:25:00,4.24765634536743
1/17/2023 21:30:00,4.24734354019165
1/17/2023 21:35:00,4.26843738555908
1/17/2023 21:40:00,4.23624992370605
1/17/2023 21:45:00,4.25687503814697
1/17/2023 21:50:00,4.26718759536743
1/17/2023 21:55:00,4.2571873664856
1/17/2023 22:00:00,4.2467188835144
1/17/2023 22:05:00,4.2467188835144
1/17/2023 22:10:00,4.24703121185303
1/17/2023 22:15:00,4.26749992370605
1/17/2023 22:20:00,4.27828121185303
1/17/2023 22:25:00,4.25812482833862
1/17/2023 22:30:00,4.24703121185303
1/17/2023 22:35:00,4.24640607833862
1/17/2023 22:40:00,4.23624992370605
1/17/2023 22:45:00,4.25656223297119
1/17/2023 22:50:00,4.24640607833862
1/17/2023 22:55:00,4.24640607833862
1/17/2023 23:00:00,4.24640607833862
1/17/2023 23:05:00,4.27703094482422
1/17/2023 23:10:00,4.27703094482422
1/17/2023 23:15:00,4.26687479019165
1/17/2023 23:20:00,4.25656223297119
1/17/2023 23:25:00,4.25593757629395
1/17/2023 23:30:00,4.24578094482422
1/17/2023 23:35:00,4.24640607833862
1/17/2023 23:40:00,4.2259373664856
1/17/2023 23:45:00,4.2259373664856
1/17/2023 23:50:00,4.23593759536743
1/17/2023 23:55:00,4.24609375
1/18/2023 00:00:00,4.25656223297119
1/18/2023 00:05:00,4.2571873664856
1/18/2023 00:10:00,4.26718759536743
1/18/2023 00:15:00,4.27765607833862
1/18/2023 00:20:00,4.26718759536743
1/18/2023 00:25:00,4.25687503814697
1/18/2023 00:30:00,4.2467188835144
1/18/2023 00:35:00,4.23656225204468
1/18/2023 00:40:00,4.23859357833862
1/18/2023 00:45:00,4.25937509536743
1/18/2023 00:50:00,4.23781251907349
1/18/2023 00:55:00,4.25812482833862
1/18/2023 01:00:00,4.23749971389771
1/18/2023 01:05:00,4.25812482833862
1/18/2023 01:10:00,4.26812505722046
1/18/2023 01:15:00,4.25812482833862
1/18/2023 01:20:00,4.25812482833862
1/18/2023 01:25:00,4.25812482833862
1/18/2023 01:30:00,4.25812482833862
1/18/2023 01:35:00,4.26906251907349
1/18/2023 01:40:00,4.28953123092651
1/18/2023 01:45:00,4.27921867370605
1/18/2023 01:50:00,4.27921867370605
1/18/2023 01:55:00,4.25906229019165
1/18/2023 02:00:00,4.25937509536743
1/18/2023 02:05:00,4.25874996185303
1/18/2023 02:10:00,4.24890613555908
1/18/2023 02:15:00,4.24734354019165
1/18/2023 02:20:00,4.2578125
1/18/2023 02:25:00,4.27828121185303
1/18/2023 02:30:00,4.24703121185303
1/18/2023 02:35:00,4.2467188835144
1/18/2023 02:40:00,4.25749969482422
1/18/2023 02:45:00,4.26781225204468
1/18/2023 02:50:00,4.25812482833862
1/18/2023 02:55:00,4.22781229019165
1/18/2023 03:00:00,4.23781251907349
1/18/2023 03:05:00,4.23781251907349
1/18/2023 03:10:00,4.23781251907349
1/18/2023 03:15:00,4.22781229019165
1/18/2023 03:20:00,4.25812482833862
1/18/2023 03:25:00,4.26812505722046
1/18/2023 03:30:00,4.27828121185303
1/18/2023 03:35:00,4.26749992370605
1/18/2023 03:40:00,4.24765634536743
1/18/2023 03:45:00,4.28859376907349
1/18/2023 03:50:00,4.27859354019165
1/18/2023 03:55:00,4.27859354019165
1/18/2023 04:00:00,4.25749969482422
1/18/2023 04:05:00,4.23781251907349
1/18/2023 04:10:00,4.26843738555908
1/18/2023 04:15:00,4.24734354019165
1/18/2023 04:20:00,4.23656225204468
1/18/2023 04:25:00,4.24734354019165
1/18/2023 04:30:00,4.2571873664856
1/18/2023 04:35:00,4.26718759536743
1/18/2023 04:40:00,4.26781225204468
1/18/2023 04:45:00,4.27765607833862
1/18/2023 04:50:00,4.26812505722046
1/18/2023 04:55:00,4.2578125
1/18/2023 05:00:00,4.24796867370605
1/18/2023 05:05:00,4.23749971389771
1/18/2023 05:10:00,4.23749971389771
1/18/2023 05:15:00,4.25812482833862
1/18/2023 05:20:00,4.27859354019165
1/18/2023 05:25:00,4.23656225204468
1/18/2023 05:30:00,4.25687503814697
1/18/2023 05:35:00,4.2571873664856
1/18/2023 05:40:00,4.23624992370605
1/18/2023 05:45:00,4.23624992370605
1/18/2023 05:50:00,4.24640607833862
1/18/2023 05:55:00,4.26656246185303
1/18/2023 06:00:00,4.24640607833862
1/18/2023 06:05:00,4.26656246185303
1/18/2023 06:10:00,4.25546884536743
1/18/2023 06:15:00,4.23468732833862
1/18/2023 06:20:00,4.2662501335144
1/18/2023 06:25:00,4.21515607833862
1/18/2023 06:30:00,4.21484375
1/18/2023 06:35:00,4.22624969482422
1/18/2023 06:40:00,4.24765634536743
1/18/2023 06:45:00,4.24828100204468
1/18/2023 06:50:00,4.23781251907349
1/18/2023 06:55:00,4.22812509536743
1/18/2023 07:00:00,4.22812509536743
1/18/2023 07:05:00,4.2265625
1/18/2023 07:10:00,4.24734354019165
1/18/2023 07:15:00,4.24765634536743
1/18/2023 07:20:00,4.26874971389771
1/18/2023 07:25:00,4.23781251907349
1/18/2023 07:30:00,4.23781251907349
1/18/2023 07:35:00,4.22749996185303
1/18/2023 07:40:00,4.21765613555908
1/18/2023 07:45:00,4.21765613555908
1/18/2023 07:50:00,4.24828100204468
1/18/2023 07:55:00,4.23781251907349
1/18/2023 08:00:00,4.21671867370605
1/18/2023 08:05:00,4.23718738555908
1/18/2023 08:10:00,4.22687482833862
1/18/2023 08:15:00,4.25812482833862
1/18/2023 08:20:00,4.21640634536743
1/18/2023 08:25:00,4.26749992370605
1/18/2023 08:30:00,4.23562479019165
1/18/2023 08:35:00,4.23562479019165
1/18/2023 08:40:00,4.22499990463257
1/18/2023 08:45:00,4.21515607833862
1/18/2023 08:50:00,4.21515607833862
1/18/2023 08:55:00,4.23624992370605
1/18/2023 09:00:00,4.21578121185303
1/18/2023 09:05:00,4.2259373664856
1/18/2023 09:10:00,4.20578098297119
1/18/2023 09:15:00,4.19343757629395
1/18/2023 09:20:00,4.20359373092651
1/18/2023 09:25:00,4.20359373092651
1/18/2023 09:30:00,4.19343757629395
1/18/2023 09:35:00,4.19374990463257
1/18/2023 09:40:00,4.19374990463257
1/18/2023 09:45:00,4.18359375
1/18/2023 09:50:00,4.17359352111816
1/18/2023 09:55:00,4.17328119277954
1/18/2023 10:00:00,4.20421886444092
1/18/2023 10:05:00,4.21484375
1/18/2023 10:10:00,4.21484375
1/18/2023 10:15:00,4.22531223297119
1/18/2023 10:20:00,4.21515607833862
1/18/2023 10:25:00,4.18453121185303
1/18/2023 10:30:00,4.20515632629395
1/18/2023 10:35:00,4.21578121185303
1/18/2023 10:40:00,4.23687505722046
1/18/2023 10:45:00,4.24765634536743
1/18/2023 10:50:00,4.24796867370605
1/18/2023 10:55:00,4.22687482833862
1/18/2023 11:00:00,4.23749971389771
1/18/2023 11:05:00,4.2578125
1/18/2023 11:10:00,4.23624992370605
1/18/2023 11:15:00,4.2154688835144
1/18/2023 11:20:00,4.22624969482422
1/18/2023 11:25:00,4.25687503814697
1/18/2023 11:30:00,4.2259373664856
1/18/2023 11:35:00,4.24640607833862
1/18/2023 11:40:00,4.22531223297119
1/18/2023 11:45:00,4.21484375
1/18/2023 11:50:00,4.22499990463257
1/18/2023 11:55:00,4.19437503814697
1/18/2023 12:00:00,4.1634373664856
1/18/2023 12:05:00,4.2350001335144
1/18/2023 12:10:00,4.21484375
1/18/2023 12:15:00,4.2454686164856
1/18/2023 12:20:00,4.23531246185303
1/18/2023 12:25:00,4.1946873664856
1/18/2023 12:30:00,4.2259373664856
1/18/2023 12:35:00,4.2259373664856
1/18/2023 12:40:00,4.23687505722046
1/18/2023 12:45:00,4.21671867370605
1/18/2023 12:50:00,4.18624973297119
1/18/2023 12:55:00,4.23687505722046
1/18/2023 13:00:00,4.21640634536743
1/18/2023 13:05:00,4.23687505722046
1/18/2023 13:10:00,4.23687505722046
1/18/2023 13:15:00,4.23656225204468
1/18/2023 13:20:00,4.21609354019165
1/18/2023 13:25:00,4.2259373664856
1/18/2023 13:30:00,4.23562479019165
1/18/2023 13:35:00,4.22468757629395
1/18/2023 13:40:00,4.2350001335144
1/18/2023 13:45:00,4.21484375
1/18/2023 13:50:00,4.21515607833862
1/18/2023 13:55:00,4.23562479019165
1/18/2023 14:00:00,4.23531246185303
1/18/2023 14:05:00,4.22624969482422
1/18/2023 14:10:00,4.22624969482422
1/18/2023 14:15:00,4.2265625
1/18/2023 14:20:00,4.21609354019165
1/18/2023 14:25:00,4.23656225204468
1/18/2023 14:30:00,4.23624992370605
1/18/2023 14:35:00,4.21578121185303
1/18/2023 14:40:00,4.23593759536743
1/18/2023 14:45:00,4.20484352111816
1/18/2023 14:50:00,4.22499990463257
1/18/2023 14:55:00,4.21515607833862
1/18/2023 15:00:00,4.21484375
1/18/2023 15:05:00,4.21484375
1/18/2023 15:10:00,4.20453119277954
1/18/2023 15:15:00,4.20453119277954
1/18/2023 15:20:00,4.21515607833862
1/18/2023 15:25:00,4.20484352111816
1/18/2023 15:30:00,4.21484375
1/18/2023 15:35:00,4.20453119277954
1/18/2023 15:40:00,4.22531223297119
1/18/2023 15:45:00,4.22437477111816
1/18/2023 15:50:00,4.20359373092651
1/18/2023 15:55:00,4.21359348297119
1/18/2023 16:00:00,4.23406219482422
1/18/2023 16:05:00,4.22343730926514
1/18/2023 16:10:00,4.23406219482422
1/18/2023 16:15:00,4.23343753814697
1/18/2023 16:20:00,4.2337498664856
1/18/2023 16:25:00,4.23343753814697
1/18/2023 16:30:00,4.22343730926514
1/18/2023 16:35:00,4.24390602111816
1/18/2023 16:40:00,4.20328092575073
1/18/2023 16:45:00,4.22375011444092
1/18/2023 16:50:00,4.2337498664856
1/18/2023 16:55:00,4.23281240463257
1/18/2023 17:00:00,4.23281240463257
1/18/2023 17:05:00,4.22281217575073
1/18/2023 17:10:00,4.22281217575073
1/18/2023 17:15:00,4.22343730926514
1/18/2023 17:20:00,4.23406219482422
1/18/2023 17:25:00,4.24421882629395
1/18/2023 17:30:00,4.22343730926514
1/18/2023 17:35:00,4.21328115463257
1/18/2023 17:40:00,4.22343730926514
1/18/2023 17:45:00,4.234375
1/18/2023 17:50:00,4.22437477111816
1/18/2023 17:55:00,4.21390628814697
1/18/2023 18:00:00,4.21390628814697
1/18/2023 18:05:00,4.234375
1/18/2023 18:10:00,4.24484348297119
1/18/2023 18:15:00,4.2142186164856
1/18/2023 18:20:00,4.20359373092651
1/18/2023 18:25:00,4.20390605926514
1/18/2023 18:30:00,4.20359373092651
1/18/2023 18:35:00,4.16249990463257
1/18/2023 18:40:00,4.16249990463257
1/18/2023 18:45:00,4.16249990463257
1/18/2023 18:50:00,4.17328119277954
1/18/2023 18:55:00,4.18359375
1/18/2023 19:00:00,4.1634373664856
1/18/2023 19:05:00,4.15281248092651
1/18/2023 19:10:00,4.16312503814697
1/18/2023 19:15:00,4.16312503814697
1/18/2023 19:20:00,4.15281248092651
1/18/2023 19:25:00,4.15281248092651
1/18/2023 19:30:00,4.16312503814697
1/18/2023 19:35:00,4.15281248092651
1/18/2023 19:40:00,4.17328119277954
1/18/2023 19:45:00,4.15281248092651
1/18/2023 19:50:00,4.1634373664856
1/18/2023 19:55:00,4.17359352111816
1/18/2023 20:00:00,4.1634373664856
1/18/2023 20:05:00,4.1634373664856
1/18/2023 20:10:00,4.1634373664856
1/18/2023 20:15:00,4.17359352111816
1/18/2023 20:20:00,4.1946873664856
1/18/2023 20:25:00,4.20515632629395
1/18/2023 20:30:00,4.1946873664856
1/18/2023 20:35:00,4.23562479019165
1/18/2023 20:40:00,4.23531246185303
1/18/2023 20:45:00,4.23531246185303
1/18/2023 20:50:00,4.22531223297119
1/18/2023 20:55:00,4.20484352111816
1/18/2023 21:00:00,4.21484375
1/18/2023 21:05:00,4.22499990463257
1/18/2023 21:10:00,4.25624990463257
1/18/2023 21:15:00,4.2259373664856
1/18/2023 21:20:00,4.21578121185303
1/18/2023 21:25:00,4.23624992370605
1/18/2023 21:30:00,4.22624969482422
1/18/2023 21:35:00,4.22562503814697
1/18/2023 21:40:00,4.24515628814697
1/18/2023 21:45:00,4.234375
1/18/2023 21:50:00,4.24453115463257
1/18/2023 21:55:00,4.25484371185303
1/18/2023 22:00:00,4.24453115463257
1/18/2023 22:05:00,4.22312498092651
1/18/2023 22:10:00,4.24359369277954
1/18/2023 22:15:00,4.23281240463257
1/18/2023 22:20:00,4.24328136444092
1/18/2023 22:25:00,4.22281217575073
1/18/2023 22:30:00,4.23281240463257
1/18/2023 22:35:00,4.22281217575073
1/18/2023 22:40:00,4.23281240463257
1/18/2023 22:45:00,4.23250007629395
1/18/2023 22:50:00,4.24296855926514
1/18/2023 22:55:00,4.27421855926514
1/18/2023 23:00:00,4.24390602111816
1/18/2023 23:05:00,4.24390602111816
1/18/2023 23:10:00,4.2337498664856
1/18/2023 23:15:00,4.2545313835144
1/18/2023 23:20:00,4.22437477111816
1/18/2023 23:25:00,4.24484348297119
1/18/2023 23:30:00,4.24484348297119
1/18/2023 23:35:00,4.23343753814697
1/18/2023 23:40:00,4.24296855926514
1/18/2023 23:45:00,4.24390602111816
1/18/2023 23:50:00,4.26375007629395
1/18/2023 23:55:00,4.26375007629395
1/19/2023 00:00:00,4.25390625
1/19/2023 00:05:00,4.25390625
1/19/2023 00:10:00,4.24359369277954
1/19/2023 00:15:00,4.22249984741211
1/19/2023 00:20:00,4.2545313835144
1/19/2023 00:25:00,4.2545313835144
1/19/2023 00:30:00,4.22437477111816
1/19/2023 00:35:00,4.25546884536743
1/19/2023 00:40:00,4.27765607833862
1/19/2023 00:45:00,4.22687482833862
1/19/2023 00:50:00,4.2154688835144
1/19/2023 00:55:00,4.23562479019165
1/19/2023 01:00:00,4.25656223297119
1/19/2023 01:05:00,4.2767186164856
1/19/2023 01:10:00,4.23624992370605
1/19/2023 01:15:00,4.25656223297119
1/19/2023 01:20:00,4.25656223297119
1/19/2023 01:25:00,4.26687479019165
1/19/2023 01:30:00,4.24578094482422
1/19/2023 01:35:00,4.2662501335144
1/19/2023 01:40:00,4.24578094482422
1/19/2023 01:45:00,4.24578094482422
1/19/2023 01:50:00,4.25624990463257
1/19/2023 01:55:00,4.26781225204468
1/19/2023 02:00:00,4.2467188835144
1/19/2023 02:05:00,4.26718759536743
1/19/2023 02:10:00,4.23687505722046
1/19/2023 02:15:00,4.22687482833862
1/19/2023 02:20:00,4.23687505722046
1/19/2023 02:25:00,4.23718738555908
1/19/2023 02:30:00,4.21609354019165
1/19/2023 02:35:00,4.2265625
1/19/2023 02:40:00,4.21640634536743
1/19/2023 02:45:00,4.23718738555908
1/19/2023 02:50:00,4.23687505722046
1/19/2023 02:55:00,4.22562503814697
1/19/2023 03:00:00,4.2265625
1/19/2023 03:05:00,4.24703121185303
1/19/2023 03:10:00,4.23687505722046
1/19/2023 03:15:00,4.22687482833862
1/19/2023 03:20:00,4.23687505722046
1/19/2023 03:25:00,4.23687505722046
1/19/2023 03:30:00,4.23687505722046
1/19/2023 03:35:00,4.24765634536743
1/19/2023 03:40:00,4.24703121185303
1/19/2023 03:45:00,4.22687482833862
1/19/2023 03:50:00,4.21609354019165
1/19/2023 03:55:00,4.24703121185303
1/19/2023 04:00:00,4.24734354019165
1/19/2023 04:05:00,4.22562503814697
1/19/2023 04:10:00,4.23624992370605
1/19/2023 04:15:00,4.21609354019165
1/19/2023 04:20:00,4.20546865463257
1/19/2023 04:25:00,4.23624992370605
1/19/2023 04:30:00,4.21578121185303
1/19/2023 04:35:00,4.21578121185303
1/19/2023 04:40:00,4.21609354019165
1/19/2023 04:45:00,4.23624992370605
1/19/2023 04:50:00,4.21609354019165
1/19/2023 04:55:00,4.1953125
1/19/2023 05:00:00,4.22562503814697
1/19/2023 05:05:00,4.23624992370605
1/19/2023 05:10:00,4.18484354019165
1/19/2023 05:15:00,4.22562503814697
1/19/2023 05:20:00,4.20484352111816
1/19/2023 05:25:00,4.19437503814697
1/19/2023 05:30:00,4.1946873664856
1/19/2023 05:35:00,4.21484375
1/19/2023 05:40:00,4.20484352111816
1/19/2023 05:45:00,4.21515607833862
1/19/2023 05:50:00,4.22562503814697
1/19/2023 05:55:00,4.22562503814697
1/19/2023 06:00:00,4.2154688835144
1/19/2023 06:05:00,4.2154688835144
1/19/2023 06:10:00,4.22562503814697
1/19/2023 06:15:00,4.20578098297119
1/19/2023 06:20:00,4.22687482833862
1/19/2023 06:25:00,4.23624992370605
1/19/2023 06:30:00,4.2154688835144
1/19/2023 06:35:00,4.20515632629395
1/19/2023 06:40:00,4.21609354019165
1/19/2023 06:45:00,4.2265625
1/19/2023 06:50:00,4.21640634536743
1/19/2023 06:55:00,4.2265625
1/19/2023 07:00:00,4.1959376335144
1/19/2023 07:05:00,4.20671844482422
1/19/2023 07:10:00,4.21640634536743
1/19/2023 07:15:00,4.23687505722046
1/19/2023 07:20:00,4.23687505722046
1/19/2023 07:25:00,4.22687482833862
1/19/2023 07:30:00,4.21671867370605
1/19/2023 07:35:00,4.21671867370605
1/19/2023 07:40:00,4.21640634536743
1/19/2023 07:45:00,4.2265625
1/19/2023 07:50:00,4.2064061164856
1/19/2023 07:55:00,4.22687482833862
1/19/2023 08:00:00,4.20609378814697
1/19/2023 08:05:00,4.20703125
1/19/2023 08:10:00,4.18624973297119
1/19/2023 08:15:00,4.18656253814697
